
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
301,2012-04-30,COL,LAD,W 6-2,36,32,6,10,4,0,0,6,3,0,6,0,0,1,0,0,0,0,0.240,1.545,.623,6,15,25227,193,75,tolf,5,,cloudy
302,2012-04-30,MIA,ARI,L 5-9,40,35,5,10,2,0,2,5,3,0,9,1,0,1,1,2,0,0,-0.182,0.631,.848,8,15,31006,199,71,,0,none,dome
303,2012-04-30,HOU,NYM,W 4-3,32,29,4,5,0,0,1,4,2,0,9,0,1,0,2,0,1,1,0.210,0.198,1.165,4,17,17536,173,80,tolf,14,,overcast
304,2012-04-30,NYY,BAL,W 2-1,30,28,2,5,0,0,1,2,2,0,6,0,0,0,0,1,0,0,-0.147,-2.126,.758,4,10,36890,142,52,rtol,8,,cloudy
305,2012-04-30,PHI,CHC,W 6-4,39,34,6,11,1,0,0,6,3,0,5,1,1,0,0,0,0,0,0.545,2.116,.735,9,15,45397,169,57,tocf,7,,overcast
306,2012-04-30,SDP,MIL,L 3-8,38,32,3,9,3,0,0,2,5,0,7,0,1,0,0,2,2,0,-0.058,-0.886,1.067,8,15,16218,172,64,ltor,6,,overcast
307,2012-04-30,TOR,TEX,L 1-4,33,30,1,4,0,0,1,1,2,0,10,1,0,0,0,1,0,0,-0.420,-3.551,1.134,5,9,21945,179,68,,0,none,dome
308,2012-05-01,LAA,MIN,W 4-0,33,28,4,7,0,1,2,4,3,1,5,1,1,0,0,1,1,0,0.202,0.279,.396,5,9,30039,130,60,tocf,5,,overcast
309,2012-05-01,ATL,PHI,L 2-4,37,33,2,8,0,0,1,2,3,0,9,0,0,1,0,1,1,0,-0.320,-2.368,1.407,8,13,21640,166,84,rtol,6,,cloudy
310,2012-05-01,BOS,OAK,L 3-5,39,34,3,7,2,0,0,3,4,0,8,1,0,0,0,0,0,0,-0.319,-1.642,1.050,9,11,37225,211,46,fromcf,15,drizzle,
311,2012-05-01,CHW,CLE,W 7-2,39,33,7,8,1,0,2,7,6,0,3,0,0,0,2,1,3,0,0.359,2.874,.482,8,9,15212,161,56,fromlf,6,,overcast
312,2012-05-01,COL,LAD,L 6-7,39,36,6,11,3,1,2,6,1,0,7,1,0,1,0,1,0,0,-0.270,0.985,1.239,6,16,26211,202,75,tolf,4,,cloudy
313,2012-05-01,DET,KCR,W 9-3,40,36,9,14,3,0,0,7,4,1,8,0,0,0,0,1,1,0,0.378,4.839,.286,7,10,30159,147,55,fromcf,8,,
314,2012-05-01,HOU,NYM,W 6-3,38,29,6,10,1,0,2,6,8,0,2,0,1,0,0,2,0,2,0.291,2.198,.511,8,13,17958,164,80,tocf,13,,dome
315,2012-05-01,NYY,BAL,L 1-7,37,34,1,7,1,0,1,1,2,0,6,1,0,0,0,0,0,0,-0.243,-3.643,.741,9,13,37790,182,66,ltor,7,,cloudy
316,2012-05-01,SDP,MIL,W 2-0,31,27,2,5,0,0,1,2,4,0,7,0,0,0,0,1,3,1,-0.079,-1.457,1.138,5,14,19260,158,65,ltor,10,,
317,2012-05-01,SFG,MIA,L 1-2,34,32,1,7,4,0,1,1,1,1,1,0,1,0,1,1,0,1,-0.608,-2.807,1.743,6,11,41439,150,52,tocf,16,,cloudy
318,2012-05-01,STL,PIT,W 10-7,42,39,10,13,2,0,3,8,2,0,8,0,1,0,3,0,4,0,0.468,6.276,.840,8,14,36345,184,83,rtol,6,,cloudy
319,2012-05-01,TBR,SEA,W 3-1,30,25,3,3,0,1,1,3,4,0,4,0,0,1,0,1,0,0,0.073,-0.767,.552,3,9,9972,157,72,rtol,0,,dome
320,2012-05-01,TOR,TEX,W 8-7,34,27,8,7,0,0,3,8,6,0,5,0,1,0,2,4,0,0,0.848,3.955,1.433,2,10,18774,176,68,,0,none,dome
321,2012-05-01,WSN,ARI,L 1-5,33,32,1,6,1,0,0,1,1,0,8,0,0,0,0,1,0,0,-0.411,-3.319,.967,5,12,22675,158,83,torf,2,,
322,2012-05-02,LAA,MIN,W 9-0,40,37,9,15,3,0,2,9,1,0,4,1,1,0,0,1,2,0,0.340,5.277,.375,7,9,27288,148,63,tocf,6,,
323,2012-05-02,BOS,OAK,L 2-4,40,35,2,8,5,0,0,2,4,0,7,0,0,1,1,0,1,0,-0.432,-2.640,1.263,11,10,37434,202,47,fromrf,8,,
324,2012-05-02,CHW,CLE,L 3-6,35,32,3,6,0,0,1,3,3,0,8,0,0,0,0,0,1,1,-0.218,-1.642,1.432,5,11,15192,166,76,rtol,13,,cloudy
325,2012-05-02,CIN,CHC,L 1-3,31,29,1,3,1,0,0,0,2,0,10,0,0,0,0,2,0,0,-0.511,-3.451,1.080,3,13,16868,157,87,ltor,8,,sunny
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
326,2012-05-02,COL,LAD,W 8-5,38,31,8,9,0,0,4,8,4,0,8,0,3,0,0,0,0,0,0.823,3.284,1.316,5,16,30276,208,76,tolf,3,,cloudy
327,2012-05-02,DET,KCR,L 2-3,35,31,2,5,2,0,1,2,3,0,5,1,0,0,0,1,0,0,-0.344,-2.681,1.504,6,12,33187,172,71,fromrf,4,,cloudy
328,2012-05-02,HOU,NYM,W 8-1,40,37,8,15,2,0,2,8,2,0,4,0,1,0,0,1,1,0,0.324,4.197,.450,8,13,19442,154,72,,0,none,dome
329,2012-05-02,NYY,BAL,L 0-5,31,31,0,5,0,0,0,0,0,0,10,0,0,0,0,1,0,0,-0.416,-4.641,.819,4,10,39360,178,53,fromcf,7,,
330,2012-05-02,SDP,MIL,W 5-0,37,32,5,9,2,0,0,5,5,0,6,0,0,0,0,0,1,0,0.154,1.544,.653,8,15,15786,153,70,torf,7,,cloudy
331,2012-05-02,STL,PIT,W 12-3,45,38,12,17,0,2,2,11,5,0,7,1,0,1,1,2,1,0,0.457,8.276,.276,9,16,35987,191,85,tolf,12,,sunny
332,2012-05-02,TBR,SEA,W 5-4,35,33,5,8,1,0,2,5,2,0,3,0,0,0,1,0,1,0,0.308,1.233,1.024,6,10,9837,190,72,tolf,0,,dome
333,2012-05-02,TOR,TEX,W 11-5,39,34,11,11,3,1,2,11,4,0,7,0,0,1,0,0,0,0,0.426,6.954,.613,4,10,25123,165,53,tolf,19,,dome
334,2012-05-02,WSN,ARI,W 5-4,37,34,5,10,4,0,1,4,3,0,11,0,0,0,0,0,1,2,0.632,0.783,1.890,6,14,16274,183,64,rtol,7,,
335,2012-05-03,LAA,TOR,L 0-5,28,28,0,3,1,0,0,0,0,0,8,0,0,0,0,2,0,0,-0.298,-4.188,.544,1,10,28359,131,66,tocf,4,,cloudy
336,2012-05-03,ATL,PHI,L 0-4,29,29,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,-0.572,-4.369,.873,2,11,24015,122,81,fromcf,4,,cloudy
337,2012-05-03,CHW,CLE,L 5-7,42,35,5,11,1,0,1,5,6,0,7,0,1,0,0,1,0,0,-0.093,0.360,1.275,10,10,17314,160,82,rtol,13,,
338,2012-05-03,KCR,NYY,W 4-3,34,32,4,9,2,0,1,4,2,0,6,0,0,0,0,0,0,1,0.088,-0.044,.973,6,9,19590,200,83,rtol,15,,
339,2012-05-03,SFG,MIA,L 2-3,35,33,2,9,1,0,0,1,1,0,6,0,1,0,0,1,0,1,-0.469,-1.809,1.792,6,17,41159,179,57,rtol,11,rain,
340,2012-05-03,STL,PIT,L 3-6,42,34,3,7,4,0,0,3,7,0,17,0,1,0,1,0,2,0,-0.217,-1.190,1.126,12,16,40601,206,83,tocf,8,,cloudy
341,2012-05-03,TBR,SEA,W 4-3,34,31,4,7,0,1,1,4,3,0,6,0,0,0,0,0,2,0,0.124,0.234,.738,6,11,11575,177,72,tocf,0,,dome
342,2012-05-03,WSN,ARI,W 2-1,29,26,2,4,3,0,0,2,2,0,4,0,1,0,0,1,1,0,-0.059,-1.837,.986,3,13,19656,146,80,fromrf,4,,sunny
343,2012-05-04,LAA,TOR,L 0-4,32,31,0,6,2,0,0,0,1,0,3,0,0,0,0,2,0,0,-0.403,-4.187,.830,5,11,33160,130,67,torf,5,,cloudy
344,2012-05-04,CHC,LAD,W 5-4,39,33,5,11,4,1,1,5,6,1,7,0,0,0,0,1,1,1,0.184,1.162,.706,10,15,37332,197,52,fromlf,9,,
345,2012-05-04,CLE,TEX,W 6-3,33,30,6,10,1,1,2,6,1,0,4,1,0,1,0,1,1,2,0.373,2.277,.784,3,10,16147,146,66,fromrf,7,,
