
Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1,2015-10-04,ARI,HOU,W 5-3,39,36,5,11,4,0,2,4,3,0,9,0,0,0,1,0,1,0,0.382,1.169,.987,10,15,24788,199,75,,0,none,dome
2,2015-10-04 (1),ATL,STL,W 6-0,32,31,6,8,1,0,3,6,1,0,11,0,0,0,0,1,0,0,0.191,2.475,.410,2,13,,134,67,rtol,15,,overcast
3,2015-10-04 (2),ATL,STL,W 2-0,32,31,2,11,2,0,0,2,0,0,7,0,1,0,0,2,0,0,-0.074,-1.528,.915,6,12,31441,139,69,fromcf,11,,overcast
4,2015-10-04,BAL,NYY,W 9-4,41,35,9,12,4,0,2,9,6,1,8,0,0,0,0,0,0,0,0.320,4.991,.549,8,10,33224,219,56,fromcf,8,,overcast
5,2015-10-04,CHW,DET,L 0-6,32,30,0,3,1,1,0,0,2,0,4,0,0,0,1,1,0,0,-0.385,-4.199,.896,5,9,19800,165,56,ltor,12,,overcast
6,2015-10-04,CLE,BOS,W 3-1,33,32,3,10,3,0,0,2,1,0,8,0,0,0,0,1,1,0,0.042,-1.124,.753,6,9,17844,166,67,rtol,11,,cloudy
7,2015-10-04,LAD,SDP,W 6-3,39,32,6,9,0,0,3,6,7,0,14,0,0,0,0,0,0,0,0.167,2.439,.596,9,23,42863,182,67,tocf,7,,
8,2015-10-04,MIL,CHC,L 1-3,31,28,1,3,2,0,0,1,2,0,6,0,1,0,0,1,1,0,-0.487,-3.217,1.119,3,15,32959,164,68,,0,none,dome
9,2015-10-04,MIN,KCR,L 1-6,40,34,1,7,0,0,0,1,6,0,7,0,0,0,1,1,0,0,-0.245,-3.510,.854,12,9,24108,191,55,fromlf,3,,cloudy
10,2015-10-04,NYM,WSN,W 1-0,30,27,1,5,2,0,1,1,2,0,7,1,0,0,0,2,0,0,-0.168,-2.525,1.073,5,17,41631,154,62,fromcf,21,,sunny
11,2015-10-04,PHI,MIA,W 7-2,38,33,7,10,5,1,0,7,5,1,3,0,0,0,0,1,0,0,0.317,3.287,1.068,7,15,21734,149,59,rtol,16,,
12,2015-10-04,PIT,CIN,W 4-0,37,36,4,13,5,0,1,4,1,0,7,0,0,0,0,0,0,1,0.095,0.357,.543,9,15,35362,183,61,fromlf,10,,
13,2015-10-04,SEA,OAK,W 3-2,34,28,3,6,1,0,1,3,5,0,4,0,0,1,0,1,1,0,0.122,-0.660,1.563,7,10,22402,165,65,torf,3,,cloudy
14,2015-10-04,SFG,COL,L 3-7,40,35,3,12,1,0,0,3,4,0,3,0,1,0,0,2,0,1,0.065,-1.046,.778,10,22,41399,185,71,,4,,cloudy
15,2015-10-04,TBR,TOR,W 12-3,38,37,12,13,1,0,3,10,1,0,4,0,0,0,2,2,0,0,0.437,8.188,.384,2,12,15815,189,72,,0,none,dome
16,2015-10-04,TEX,LAA,W 9-2,39,33,9,10,1,0,1,9,5,0,10,0,0,1,0,0,0,0,0.269,4.911,.891,6,12,45772,173,74,ltor,4,,sunny
